target,text
ham,I cant pick the phone right now. Pls send a message
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
ham,"Yeah sure, give me a couple minutes to track down my wallet"
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082
spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
ham,Okie.. Thanx..
ham,Ü takin linear algebra today?
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,What pa tell me.. I went to bath:-)
ham,Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar
ham,"2 celebrate my bday, y else?"
ham,I'm not sure if its still available though
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish
ham,Tell where you reached
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,it's really getting me down just hanging around.
ham,"Gosh that , what a pain. Spose I better come then."
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....
ham,Dont think so. It turns off like randomlly within 5min of opening
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,You call times job today ok umma and ask them to speed up
ham,I thought slide is enough.
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,Yo come over carlos will be here soon
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,I wont. So wat's wit the guys
ham,Everybody had fun this evening. Miss you.
ham,5 nights...We nt staying at port step liao...Too ex
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,"Get the door, I'm here"
ham,I wait 4 ü inside da car park...
ham,Just nw i came to hme da..
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,You were supposed to wake ME up &gt;:(
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,"Sorry, I'll call later"
ham,That's y u haf 2 keep me busy...
ham,Jus finish watching tv... U?
ham,Jay's getting really impatient and belligerent
ham,But i dint slept in afternoon.
ham,I've reached home finally...
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP
ham,Yep then is fine 7.30 or 8.30 for ice age.
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
ham,At home also.
ham,Hi. Hope you had a good day. Have a better night.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,At what time are you coming.
ham,"Thanks, I'll keep that in mind"
ham,Er mw im filled tuth is aight
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,K...k:)why cant you come here and search job:)
ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,So what u doing today?
ham,Dude im no longer a pisces. Im an aquarius now.
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,Yes:)here tv is always available in work place..
ham,U buy newspapers already?
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her"
ham,No. On the way home. So if not for the long dry spell the season would have been over
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
ham,Anything lor but toa payoh got place 2 walk meh...
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
spam,2/2 146tf150p
ham,Ü no home work to do meh...
ham,"So check your errors and if you had difficulties, do correction."
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,Ok... I din get ur msg...
ham,Cps is causing the outages to conserve energy.
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham,Oh k. . I will come tomorrow
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,Can you open the door?
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,Is toshiba portege m100 gd?
ham,So gd got free ice cream... I oso wan...
ham,U attend ur driving lesson how many times a wk n which day?
ham,"I hav almost reached. Call, i m unable to connect u."
ham,"Not sure yet, still trying to get a hold of him"
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,"K I'm ready,  &lt;#&gt; ?"
ham,Hope you are having a great day.
ham,It took Mr owl 3 licks
ham,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng"
ham,Hi. I'm always online on yahoo and would like to chat with you someday
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
ham,As usual u can call me ard 10 smth.
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,Good evening! this is roger. How are you?
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,WHITE FUDGE OREOS ARE IN STORES
ham,Happy new year to u too!
ham,I attended but nothing is there.
ham,"Yo my trip got postponed, you still stocked up?"
ham,I am in your office na.
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
ham,Welp apparently he retired
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."
ham,K.k:)apo k.good movie.
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
ham,O. Guess they both got screwd
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,"I'm not coming over, do whatever you want"
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,What was she looking for?
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
ham,"Yes but i dont care! I need you bad, princess!"
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,Why don't you wait 'til at least wednesday to see if you get your .
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,What time you coming down later?
ham,Can ü send me a copy of da report?
ham,I want to lick your pussy now...
ham,"Sorry, I'll call later"
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,Im done. Just studyn in library
ham,Simply sitting and watching match in office..
ham,Buy one egg for me da..please:)
ham,No no. I will check all rooms befor activities
ham,Great! So what attracts you to the brothas?
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,Convey my regards to him
ham,Haf u eaten? Wat time u wan me 2 come?
ham,I dont know why she.s not getting your messages
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok
ham,From here after The performance award is calculated every two month.not for current one month period..
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
ham,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50"
ham,Where's my boytoy? I miss you ... What happened?
ham,Near kalainar tv office.thenampet
ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?"
ham,"If we hit it off, you can move in with me :)"
ham,"Sorry, I'll call later in meeting"
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,"fyi I'm at usf now, swing by the room whenever"
ham,"Damn, poor zac doesn't stand a chance"
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
ham,No need to ke qi... Ü too bored izzit y suddenly thk of this...
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,Hey! There's veggie pizza... :/
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,Indeed and by the way it was either or - not both !
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,:( but your not here....
ham,Well its not like you actually called someone a punto. That woulda been worse.
ham,K..u also dont msg or reply to his msg..
ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,Can ü all decide faster cos my sis going home liao..
ham,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!"
ham,No probably  &lt;#&gt; %.
spam,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Ok i juz receive..
ham,Ya that one is slow as poo
ham,Exactly. Anyways how far. Is jide her to study or just visiting
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,Did either of you have any idea's? Do you know of anyplaces doing something?
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,S s..first time..dhoni rocks...
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff."
ham,"Yo, you around? Just got my car back"
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Hi :)finally i completed the course:)
ham,K:)all the best:)congrats...
ham,Ü wait 4 me in sch i finish ard 5..
ham,Do you know when the result.
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up"
ham,Not getting anywhere with this damn job hunting over here!
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
ham,I'm home.
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,O ic lol. Should play 9 doors sometime yo
ham,Nope... Juz off from work...
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
ham,Anything...
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
ham,That is wondarfull song
ham,You will be in the place of that man
ham,"Uh, heads up we don't have THAT much left"
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Except theres a chick with huge boobs.
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
spam,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,Dad says hurry the hell up
ham,Omg it could snow here tonite!
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
ham,Your daily text from me – a favour this time
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,"Hi Chikku, send some nice msgs"
spam,88800 and 89034 are premium phone services call 08718711108
ham,Takin a shower now but yeah I'll leave when I'm done
ham,Yes there were many sweets
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night"
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,"K, if u bored up just come to my home.."
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
ham,Dont put your phone on silent mode ok
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,Me fine..absolutly fine
ham,"Haha... Sounds crazy, dunno can tahan anot..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,Good morning pookie pie! Lol hope I didn't wake u up
ham,Ok lor...
spam,88066 FROM 88066 LOST 3POUND HELP
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
ham,Kent vale lor... Ü wait 4 me there ar?
ham,Ladies first and genus second k .
spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
ham,"I'm in a meeting, call me later at"
ham,Er yep sure. Props?
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
ham,I was just callin to say hi. Take care bruv!
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,No she didnt. I will search online and let you know.
ham,Then we wait 4 u lor... No need 2 feel bad lar...
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,Hey you can pay. With salary de. Only  &lt;#&gt; .
ham,Long beach lor. Expected... U having dinner now?
ham,"K so am I, how much for an 8th? Fifty?"
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,Ok i am on the way to home hi hi
ham,And whenever you and i see we can still hook up too.
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,what are your new years plans?
spam,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,Siva is in hostel aha:-.
ham,"How long before you get reply, just defer admission til next semester"
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,"Geeeee ... Your internet is really bad today, eh ?"
ham,Should I have picked up a receipt or something earlier
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,Tmrw. Im finishing 9 doors
spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
ham,Dear i have reache room
ham,"K, text me when you're on the way"
ham,Auntie huai juan never pick up her phone
ham,Boo what time u get out? U were supposed to take me shopping today. :(
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,I cant pick the phone right now. Pls send a message
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
ham,LOL ... No just was busy
ham,"Just checked out, heading out to drop off my stuff now"
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,Went to pay rent. So i had to go to the bank to authorise the payment.
ham,Ya it came a while ago
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
ham,Many more happy returns of the day. I wish you happy birthday.
ham,What Today-sunday..sunday is holiday..so no work..
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,May i call You later Pls
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,Ok... Let u noe when i leave my house.
ham,Dear i am not denying your words please
ham,No message..no responce..what happend?
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
ham,"What will we do in the shower, baby?"
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
ham,I am not sure about night menu. . . I know only about noon menu
ham,Oops i thk i dun haf enuff... I go check then tell ü..
ham,Well. Balls. Time to make calls
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,Networking job is there.
ham,K I'll be sure to get up before noon and see what's what
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
spam,You have 1 new message. Please call 08718738034.
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,On the way to office da..
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
ham,Thats cool. i liked your photos. You are very sexy!
ham,Like a personal sized or what
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office.."
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
ham,Fine am simply sitting.
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?
ham,i can call in  &lt;#&gt;  min if thats ok
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
